Ubicaciones,Tipo ubicación,Hecho Victimizante,Tipo Hecho,Afectación,Tipo Afectación,Temporalidad,Tipo Temporalidad,Entidades,Tipo Entidad
tocaima,municipio,,,,,,,,
tocancipá,municipio,,,,,,,,
topaipí,municipio,,,,,,,,
ubalá,municipio,,,,,,,,
ubaque,municipio,,,,,,,,
une,municipio,,,,,,,,
útica,municipio,,,,,,,,
vianí,municipio,,,,,,,,
villagómez,municipio,,,,,,,,
villapinzón,municipio,,,,,,,,
villeta,municipio,,,,,,,,
viotá,municipio,,,,,,,,
zipacón,municipio,,,,,,,,
quibdó,municipio,,,,,,,,
acandí,municipio,,,,,,,,
alto baudo,municipio,,,,,,,,
atrato,municipio,,,,,,,,
bagadó,municipio,,,,,,,,
bahía solano,municipio,,,,,,,,
bajo baudó,municipio,,,,,,,,
bojaya,municipio,,,,,,,,
cértegui,municipio,,,,,,,,
condoto,municipio,,,,,,,,
juradó,municipio,,,,,,,,
lloró,municipio,,,,,,,,
medio atrato,municipio,,,,,,,,
medio baudó,municipio,,,,,,,,
medio san juan,municipio,,,,,,,,
nóvita,municipio,,,,,,,,
nuquí,municipio,,,,,,,,
río iro,municipio,,,,,,,,
río quito,municipio,,,,,,,,
riosucio,municipio,,,,,,,,
sipí,municipio,,,,,,,,
unguía,municipio,,,,,,,,
neiva,municipio,,,,,,,,
acevedo,municipio,,,,,,,,
agrado,municipio,,,,,,,,
aipe,municipio,,,,,,,,
algeciras,municipio,,,,,,,,
altamira,municipio,,,,,,,,
baraya,municipio,,,,,,,,
campoalegre,municipio,,,,,,,,
colombia,municipio,,,,,,,,
elías,municipio,,,,,,,,
garzón,municipio,,,,,,,,
gigante,municipio,,,,,,,,
guadalupe,municipio,,,,,,,,
hobo,municipio,,,,,,,,
iquira,municipio,,,,,,,,
isnos,municipio,,,,,,,,
la argentina,municipio,,,,,,,,
la plata,municipio,,,,,,,,
nátaga,municipio,,,,,,,,
oporapa,municipio,,,,,,,,
paicol,municipio,,,,,,,,
palermo,municipio,,,,,,,,
palestina,municipio,,,,,,,,
pital,municipio,,,,,,,,
pitalito,municipio,,,,,,,,
rivera,municipio,,,,,,,,
saladoblanco,municipio,,,,,,,,
santa maría,municipio,,,,,,,,
suaza,municipio,,,,,,,,
tarqui,municipio,,,,,,,,
tesalia,municipio,,,,,,,,
tello,municipio,,,,,,,,
teruel,municipio,,,,,,,,
timaná,municipio,,,,,,,,
villavieja,municipio,,,,,,,,
yaguará,municipio,,,,,,,,
riohacha,municipio,,,,,,,,
albania,municipio,,,,,,,,
barrancas,municipio,,,,,,,,
dibula,municipio,,,,,,,,
distracción,municipio,,,,,,,,
el molino,municipio,,,,,,,,
fonseca,municipio,,,,,,,,
hatonuevo,municipio,,,,,,,,
maicao,municipio,,,,,,,,
manaure,municipio,,,,,,,,
uribia,municipio,,,,,,,,
urumita,municipio,,,,,,,,
villanueva,municipio,,,,,,,,
santa marta,municipio,,,,,,,,
algarrobo,municipio,,,,,,,,
aracataca,municipio,,,,,,,,
ariguaní,municipio,,,,,,,,
cerro san antonio,municipio,,,,,,,,
chivolo,municipio,,,,,,,,
concordia,municipio,,,,,,,,
el banco,municipio,,,,,,,,
el piñon,municipio,,,,,,,,
el retén,municipio,,,,,,,,
fundación,municipio,,,,,,,,
guamal,municipio,,,,,,,,
nueva granada,municipio,,,,,,,,
pedraza,municipio,,,,,,,,
pivijay,municipio,,,,,,,,
plato,municipio,,,,,,,,
remolino,municipio,,,,,,,,
salamina,municipio,,,,,,,,
san zenón,municipio,,,,,,,,
santa ana,municipio,,,,,,,,
sitionuevo,municipio,,,,,,,,
tenerife,municipio,,,,,,,,
zapayán,municipio,,,,,,,,
zona bananera,municipio,,,,,,,,
villavicencio,municipio,,,,,,,,
acacias,municipio,,,,,,,,
cabuyaro,municipio,,,,,,,,
cubarral,municipio,,,,,,,,
cumaral,municipio,,,,,,,,
el calvario,municipio,,,,,,,,
el castillo,municipio,,,,,,,,
el dorado,municipio,,,,,,,,
granada,municipio,,,,,,,,
guamal,municipio,,,,,,,,
mapiripán,municipio,,,,,,,,
mesetas,municipio,,,,,,,,
la macarena,municipio,,,,,,,,
lejanías,municipio,,,,,,,,
puerto concordia,municipio,,,,,,,,
puerto gaitán,municipio,,,,,,,,
puerto lópez,municipio,,,,,,,,
puerto lleras,municipio,,,,,,,,
puerto rico,municipio,,,,,,,,
restrepo,municipio,,,,,,,,
san juanito,municipio,,,,,,,,
san martín,municipio,,,,,,,,
vista hermosa,municipio,,,,,,,,
pasto,municipio,,,,,,,,
albán,municipio,,,,,,,,
aldana,municipio,,,,,,,,
ancuyá,municipio,,,,,,,,
barbacoas,municipio,,,,,,,,
colón,municipio,,,,,,,,
consaca,municipio,,,,,,,,
contadero,municipio,,,,,,,,
córdoba,municipio,,,,,,,,
cuaspud,municipio,,,,,,,,
cumbal,municipio,,,,,,,,
cumbitara,municipio,,,,,,,,
el charco,municipio,,,,,,,,
el peñol,municipio,,,,,,,,
el rosario,municipio,,,,,,,,
el tambo,municipio,,,,,,,,
funes,municipio,,,,,,,,
guachucal,municipio,,,,,,,,
guaitarilla,municipio,,,,,,,,
gualmatán,municipio,,,,,,,,
iles,municipio,,,,,,,,
imués,municipio,,,,,,,,
ipiales,municipio,,,,,,,,
la cruz,municipio,,,,,,,,
la florida,municipio,,,,,,,,
la llanada,municipio,,,,,,,,
la tola,municipio,,,,,,,,
la unión,municipio,,,,,,,,
leiva,municipio,,,,,,,,
linares,municipio,,,,,,,,
los andes,municipio,,,,,,,,
magüí,municipio,,,,,,,,
mallama,municipio,,,,,,,,
mosquera,municipio,,,,,,,,
nariño,municipio,,,,,,,,
olaya herrera,municipio,,,,,,,,
ospina,municipio,,,,,,,,
francisco pizarro,municipio,,,,,,,,
policarpa,municipio,,,,,,,,
potosí,municipio,,,,,,,,
providencia,municipio,,,,,,,,
puerres,municipio,,,,,,,,
pupiales,municipio,,,,,,,,
ricaurte,municipio,,,,,,,,
roberto payán,municipio,,,,,,,,
samaniego,municipio,,,,,,,,
sandoná,municipio,,,,,,,,
san bernardo,municipio,,,,,,,,
san lorenzo,municipio,,,,,,,,
san pablo,municipio,,,,,,,,
santa bárbara,municipio,,,,,,,,
sapuyes,municipio,,,,,,,,
taminango,municipio,,,,,,,,
tangua,municipio,,,,,,,,
túquerres,municipio,,,,,,,,
yacuanquer,municipio,,,,,,,,
armenia,municipio,,,,,,,,
buenavista,municipio,,,,,,,,
circasia,municipio,,,,,,,,
córdoba,municipio,,,,,,,,
filandia,municipio,,,,,,,,
la tebaida,municipio,,,,,,,,
montenegro,municipio,,,,,,,,
pijao,municipio,,,,,,,,
quimbaya,municipio,,,,,,,,
salento,municipio,,,,,,,,
pereira,municipio,,,,,,,,
apía,municipio,,,,,,,,
balboa,municipio,,,,,,,,
dosquebradas,municipio,,,,,,,,
guática,municipio,,,,,,,,
la celia,municipio,,,,,,,,
la virginia,municipio,,,,,,,,
marsella,municipio,,,,,,,,
mistrató,municipio,,,,,,,,
pueblo rico,municipio,,,,,,,,
quinchía,municipio,,,,,,,,
santuario,municipio,,,,,,,,
bucaramanga,municipio,,,,,,,,
aguada,municipio,,,,,,,,
albania,municipio,,,,,,,,
aratoca,municipio,,,,,,,,
barbosa,municipio,,,,,,,,
barichara,municipio,,,,,,,,
barrancabermeja,municipio,,,,,,,,
betulia,municipio,,,,,,,,
bolívar,municipio,,,,,,,,
cabrera,municipio,,,,,,,,
california,municipio,,,,,,,,
carcasí,municipio,,,,,,,,
cepitá,municipio,,,,,,,,
cerrito,municipio,,,,,,,,
charalá,municipio,,,,,,,,
charta,municipio,,,,,,,,
chipatá,municipio,,,,,,,,
cimitarra,municipio,,,,,,,,
concepción,municipio,,,,,,,,
confines,municipio,,,,,,,,
contratación,municipio,,,,,,,,
coromoro,municipio,,,,,,,,
curití,municipio,,,,,,,,
el guacamayo,municipio,,,,,,,,
el playón,municipio,,,,,,,,
encino,municipio,,,,,,,,
enciso,municipio,,,,,,,,
florián,municipio,,,,,,,,
floridablanca,municipio,,,,,,,,
galán,municipio,,,,,,,,
gambita,municipio,,,,,,,,
girón,municipio,,,,,,,,
guaca,municipio,,,,,,,,
guadalupe,municipio,,,,,,,,
guapotá,municipio,,,,,,,,
guavatá,municipio,,,,,,,,
güepsa,municipio,,,,,,,,
jesús maría,municipio,,,,,,,,
jordán,municipio,,,,,,,,
la belleza,municipio,,,,,,,,
landázuri,municipio,,,,,,,,
la paz,municipio,,,,,,,,
lebríja,municipio,,,,,,,,
los santos,municipio,,,,,,,,
macaravita,municipio,,,,,,,,
málaga,municipio,,,,,,,,
matanza,municipio,,,,,,,,
mogotes,municipio,,,,,,,,
molagavita,municipio,,,,,,,,
ocamonte,municipio,,,,,,,,
oiba,municipio,,,,,,,,
onzaga,municipio,,,,,,,,
palmar,municipio,,,,,,,,
páramo,municipio,,,,,,,,
piedecuesta,municipio,,,,,,,,
pinchote,municipio,,,,,,,,
puente nacional,municipio,,,,,,,,
rionegro,municipio,,,,,,,,
san andrés,municipio,,,,,,,,
san gil,municipio,,,,,,,,
san joaquín,municipio,,,,,,,,
san miguel,municipio,,,,,,,,
santa bárbara,municipio,,,,,,,,
simacota,municipio,,,,,,,,
socorro,municipio,,,,,,,,
suaita,municipio,,,,,,,,
sucre,municipio,,,,,,,,
suratá,municipio,,,,,,,,
tona,municipio,,,,,,,,
vélez,municipio,,,,,,,,
vetas,municipio,,,,,,,,
villanueva,municipio,,,,,,,,
zapatoca,municipio,,,,,,,,
sincelejo,municipio,,,,,,,,
buenavista,municipio,,,,,,,,
caimito,municipio,,,,,,,,
coloso,municipio,,,,,,,,
coveñas,municipio,,,,,,,,
chalán,municipio,,,,,,,,
el roble,municipio,,,,,,,,
galeras,municipio,,,,,,,,
guaranda,municipio,,,,,,,,
la unión,municipio,,,,,,,,
los palmitos,municipio,,,,,,,,
majagual,municipio,,,,,,,,
morroa,municipio,,,,,,,,
ovejas,municipio,,,,,,,,
palmito,municipio,,,,,,,,
san benito abad,municipio,,,,,,,,
san marcos,municipio,,,,,,,,
san onofre,municipio,,,,,,,,
san pedro,municipio,,,,,,,,
sucre,municipio,,,,,,,,
tolú viejo,municipio,,,,,,,,
alpujarra,municipio,,,,,,,,
alvarado,municipio,,,,,,,,
ambalema,municipio,,,,,,,,
armero,municipio,,,,,,,,
ataco,municipio,,,,,,,,
cajamarca,municipio,,,,,,,,
chaparral,municipio,,,,,,,,
coello,municipio,,,,,,,,
coyaima,municipio,,,,,,,,
cunday,municipio,,,,,,,,
dolores,municipio,,,,,,,,
espinal,municipio,,,,,,,,
falan,municipio,,,,,,,,
flandes,municipio,,,,,,,,
fresno,municipio,,,,,,,,
guamo,municipio,,,,,,,,
herveo,municipio,,,,,,,,
honda,municipio,,,,,,,,
icononzo,municipio,,,,,,,,
mariquita,municipio,,,,,,,,
melgar,municipio,,,,,,,,
murillo,municipio,,,,,,,,
natagaima,municipio,,,,,,,,
ortega,municipio,,,,,,,,
palocabildo,municipio,,,,,,,,
piedras,municipio,,,,,,,,
planadas,municipio,,,,,,,,
prado,municipio,,,,,,,,
purificación,municipio,,,,,,,,
rio blanco,municipio,,,,,,,,
roncesvalles,municipio,,,,,,,,
rovira,municipio,,,,,,,,
saldaña,municipio,,,,,,,,
santa isabel,municipio,,,,,,,,
venadillo,municipio,,,,,,,,
villahermosa,municipio,,,,,,,,
villarrica,municipio,,,,,,,,
arauquita,municipio,,,,,,,,
cravo norte,municipio,,,,,,,,
fortul,municipio,,,,,,,,
puerto rondón,municipio,,,,,,,,
saravena,municipio,,,,,,,,
tame,municipio,,,,,,,,
arauca,municipio,,,,,,,,
yopal,municipio,,,,,,,,
aguazul,municipio,,,,,,,,
chámeza,municipio,,,,,,,,
hato corozal,municipio,,,,,,,,
la salina,municipio,,,,,,,,
monterrey,municipio,,,,,,,,
pore,municipio,,,,,,,,
recetor,municipio,,,,,,,,
sabanalarga,municipio,,,,,,,,
sácama,municipio,,,,,,,,
tauramena,municipio,,,,,,,,
trinidad,municipio,,,,,,,,
villanueva,municipio,,,,,,,,
mocoa,municipio,,,,,,,,
colón,municipio,,,,,,,,
orito,municipio,,,,,,,,
puerto caicedo,municipio,,,,,,,,
puerto guzmán,municipio,,,,,,,,
leguízamo,municipio,,,,,,,,
sibundoy,municipio,,,,,,,,
san francisco,municipio,,,,,,,,
san miguel,municipio,,,,,,,,
santiago,municipio,,,,,,,,
leticia,municipio,,,,,,,,
el encanto,municipio,,,,,,,,
la chorrera,municipio,,,,,,,,
la pedrera,municipio,,,,,,,,
la victoria,municipio,,,,,,,,
puerto arica,municipio,,,,,,,,
puerto nariño,municipio,,,,,,,,
puerto santander,municipio,,,,,,,,
tarapacá,municipio,,,,,,,,
inírida,municipio,,,,,,,,
barranco minas,municipio,,,,,,,,
mapiripana,municipio,,,,,,,,
san felipe,municipio,,,,,,,,
puerto colombia,municipio,,,,,,,,
la guadalupe,municipio,,,,,,,,
cacahual,municipio,,,,,,,,
pana pana,municipio,,,,,,,,
mitú,municipio,,,,,,,,
carurú,municipio,,,,,,,,
taraira,municipio,,,,,,,,
papunahua,municipio,,,,,,,,
yavaraté,municipio,,,,,,,,
pacoa,municipio,,,,,,,,
morichal,municipio,,,,,,,,
puerto carreño,municipio,,,,,,,,
la primavera,municipio,,,,,,,,
santa rosalía,municipio,,,,,,,,
cumaribo,municipio,,,,,,,,
san josé del fragua,municipio,,,,,,,,
barranca de upía,municipio,,,,,,,,
palmas del socorro,municipio,,,,,,,,
san juan de río seco,municipio,,,,,,,,
juan de acosta,municipio,,,,,,,,
fuente de oro,municipio,,,,,,,,
san luis de gaceno,municipio,,,,,,,,
el litoral del san juan,municipio,,,,,,,,
villa de san diego de ubate,municipio,,,,,,,,
barranco de loba,municipio,,,,,,,,
togüí,municipio,,,,,,,,
santa rosa del sur,municipio,,,,,,,,
el cantón del san pablo,municipio,,,,,,,,
villa de leyva,municipio,,,,,,,,
san sebastián de buenavista,municipio,,,,,,,,
paz de río,municipio,,,,,,,,
hatillo de loba,municipio,,,,,,,,
sabanas de san angel,municipio,,,,,,,,
calamar,municipio,,,,,,,,
río de oro,municipio,,,,,,,,
san pedro de uraba,municipio,,,,,,,,
san josé del guaviare,municipio,,,,,,,,
santa rosa de viterbo,municipio,,,,,,,,
santander de quilichao,municipio,,,,,,,,
miraflores,municipio,,,,,,,,
santafé de antioquia,municipio,,,,,,,,
san carlos de guaroa,municipio,,,,,,,,
palmar de varela,municipio,,,,,,,,
santa rosa de osos,municipio,,,,,,,,
san andrés de cuerquía,municipio,,,,,,,,
valle de san juan,municipio,,,,,,,,
san vicente de chucurí,municipio,,,,,,,,
san josé de miranda,municipio,,,,,,,,
providencia,municipio,,,,,,,,
santa rosa de cabal,municipio,,,,,,,,
guayabal de siquima,municipio,,,,,,,,
belén de los andaquies,municipio,,,,,,,,
paz de ariporo,municipio,,,,,,,,
santa helena del opón,municipio,,,,,,,,
san pablo de borbur,municipio,,,,,,,,
la jagua del pilar,municipio,,,,,,,,
la jagua de ibirico,municipio,,,,,,,,
san luis de sincé,municipio,,,,,,,,
san luis de gaceno,municipio,,,,,,,,
el carmen de bolívar,municipio,,,,,,,,
el carmen de atrato,municipio,,,,,,,,
san juan de betulia,municipio,,,,,,,,
pijiño del carmen,municipio,,,,,,,,
vigía del fuerte,municipio,,,,,,,,
san martín de loba,municipio,,,,,,,,
altos del rosario,municipio,,,,,,,,
carmen de apicala,municipio,,,,,,,,
san antonio del tequendama,municipio,,,,,,,,
sabana de torres,municipio,,,,,,,,
el retorno,municipio,,,,,,,,
san josé de uré,municipio,,,,,,,,
san pedro de cartago,municipio,,,,,,,,
campo de la cruz,municipio,,,,,,,,
san juan de arama,municipio,,,,,,,,
san josé de la montaña,municipio,,,,,,,,
cartagena del chairá,municipio,,,,,,,,
san josé del palmar,municipio,,,,,,,,
agua de dios,municipio,,,,,,,,
san jacinto del cauca,municipio,,,,,,,,
san agustín,municipio,,,,,,,,
el tablón de gómez,municipio,,,,,,,,
san andrés,municipio,,,,,,,,
san josé de pare,municipio,,,,,,,,
valle de guamez,municipio,,,,,,,,
san pablo de borbur,municipio,,,,,,,,
santiago de tolú,municipio,,,,,,,,
bogotá d.c.,municipio,,,,,,,,
carmen de carupa,municipio,,,,,,,,
ciénaga de oro,municipio,,,,,,,,
san juan de urabá,municipio,,,,,,,,
san juan del cesar,municipio,,,,,,,,
el carmen de chucurí,municipio,,,,,,,,
el carmen de viboral,municipio,,,,,,,,
belén de umbría,municipio,,,,,,,,
belén de bajira,municipio,,,,,,,,
valle de san josé,municipio,,,,,,,,
san luis,municipio,,,,,,,,
san miguel de sema,municipio,,,,,,,,
san antonio,municipio,,,,,,,,
san benito,municipio,,,,,,,,
vergara,municipio,,,,,,,,
san carlos,municipio,,,,,,,,
puerto alegría,municipio,,,,,,,,
hato,municipio,,,,,,,,
san jacinto,municipio,,,,,,,,
san sebastián,municipio,,,,,,,,
san carlos,municipio,,,,,,,,
tuta,municipio,,,,,,,,
silos,municipio,,,,,,,,
cácota,municipio,,,,,,,,
el dovio,municipio,,,,,,,,
toledo,municipio,,,,,,,,
roldanillo,municipio,,,,,,,,
mutiscua,municipio,,,,,,,,
argelia,municipio,,,,,,,,
el zulia,municipio,,,,,,,,
salazar,municipio,,,,,,,,
sevilla,municipio,,,,,,,,
zarzal,municipio,,,,,,,,
cucutilla,municipio,,,,,,,,
el cerrito,municipio,,,,,,,,
cartago,municipio,,,,,,,,
caicedonia,municipio,,,,,,,,
puerto santander,municipio,,,,,,,,
gramalote,municipio,,,,,,,,
el cairo,municipio,,,,,,,,
el tarra,municipio,,,,,,,,
la unión,municipio,,,,,,,,
restrepo,municipio,,,,,,,,
teorama,municipio,,,,,,,,
dagua,municipio,,,,,,,,
arboledas,municipio,,,,,,,,
guacarí,municipio,,,,,,,,
lourdes,municipio,,,,,,,,
ansermanuevo,municipio,,,,,,,,
bochalema,municipio,,,,,,,,
bugalagrande,municipio,,,,,,,,
convención,municipio,,,,,,,,
hacarí,municipio,,,,,,,,
la victoria,municipio,,,,,,,,
herrán,municipio,,,,,,,,
ginebra,municipio,,,,,,,,
yumbo,municipio,,,,,,,,
obando,municipio,,,,,,,,
tibú,municipio,,,,,,,,
san cayetano,municipio,,,,,,,,
san calixto,municipio,,,,,,,,
bolívar,municipio,,,,,,,,
la playa,municipio,,,,,,,,
cali,municipio,,,,,,,,
san pedro,municipio,,,,,,,,
guadalajara de buga,municipio,,,,,,,,
chinácota,municipio,,,,,,,,
ragonvalia,municipio,,,,,,,,
la esperanza,municipio,,,,,,,,
villa del rosario,municipio,,,,,,,,
chitagá,municipio,,,,,,,,
calima,municipio,,,,,,,,
sardinata,municipio,,,,,,,,
andalucía,municipio,,,,,,,,
pradera,municipio,,,,,,,,
abrego,municipio,,,,,,,,
los patios,municipio,,,,,,,,
ocaña,municipio,,,,,,,,
bucarasica,municipio,,,,,,,,
yotoco,municipio,,,,,,,,
palmira,municipio,,,,,,,,
riofrío,municipio,,,,,,,,
santiago,municipio,,,,,,,,
alcalá,municipio,,,,,,,,
versalles,municipio,,,,,,,,
labateca,municipio,,,,,,,,
cachirá,municipio,,,,,,,,
villa caro,municipio,,,,,,,,
durania,municipio,,,,,,,,
el águila,municipio,,,,,,,,
toro,municipio,,,,,,,,
candelaria,municipio,,,,,,,,
la cumbre,municipio,,,,,,,,
ulloa,municipio,,,,,,,,
trujillo,municipio,,,,,,,,
vijes,municipio,,,,,,,,
chimá,municipio,,,,,,,,
sampués,municipio,,,,,,,,
nunchía,municipio,,,,,,,,
pamplona,municipio,,,,,,,,
albán,municipio,,,,,,,,
montelíbano,municipio,,,,,,,,
puerto asís,municipio,,,,,,,,
corozal,municipio,,,,,,,,
buesaco,municipio,,,,,,,,
maní,municipio,,,,,,,,
el peñón,municipio,,,,,,,,
tuluá,municipio,,,,,,,,
casabianca,municipio,,,,,,,,
anolaima,municipio,,,,,,,,
chía,municipio,,,,,,,,
san andrés de tumaco,municipio,,,,,,,,
milán,municipio,,,,,,,,
capitanejo,municipio,,,,,,,,
anzoátegui,municipio,,,,,,,,
florida,municipio,,,,,,,,
repelón,municipio,,,,,,,,
frontino,municipio,,,,,,,,
el peñón,municipio,,,,,,,,
pamplonita,municipio,,,,,,,,
miriti paraná,municipio,,,,,,,,
támara,municipio,,,,,,,,
tibasosa,municipio,,,,,,,,
páez,municipio,,,,,,,,
ibagué,municipio,,,,,,,,
puerto colombia,municipio,,,,,,,,
belén,municipio,,,,,,,,
sopó,municipio,,,,,,,,
carmen del darien,municipio,,,,,,,,
gama,municipio,,,,,,,,
sasaima,municipio,,,,,,,,
chachagüí,municipio,,,,,,,,
cúcuta,municipio,,,,,,,,
cartagena,municipio,,,,,,,,
granada,municipio,,,,,,,,
santa bárbara de pinto,municipio,,,,,,,,
maría la baja,municipio,,,,,,,,
la montañita,municipio,,,,,,,,
san vicente del caguán,municipio,,,,,,,,
el peñón,municipio,,,,,,,,
jardín,municipio,,,,,,,,
jamundí,municipio,,,,,,,,
tadó,municipio,,,,,,,,
orocué,municipio,,,,,,,,
líbano,municipio,,,,,,,,
yacopí,municipio,,,,,,,,
calarcá,municipio,,,,,,,,
sonsón,municipio,,,,,,,,
el carmen,municipio,,,,,,,,
lérida,municipio,,,,,,,,
la apartada,municipio,,,,,,,,
san cristóbal,municipio,,,,,,,,
fusagasugá,municipio,,,,,,,,
zambrano,municipio,,,,,,,,
la uvita,municipio,,,,,,,,
zipaquirá,municipio,,,,,,,,
génova,municipio,,,,,,,,
suárez,municipio,,,,,,,,
castilla la nueva,municipio,,,,,,,,
belén,municipio,,,,,,,,
unión panamericana,municipio,,,,,,,,
pueblo viejo,municipio,,,,,,,,
villagarzón,municipio,,,,,,,,
facatativá,municipio,,,,,,,,
puerto libertador,municipio,,,,,,,,
marquetalia,municipio,,,,,,,,
arboleda,municipio,,,,,,,,
buenaventura,municipio,,,,,,,,
ciénaga,municipio,,,,,,,,
ponedera,municipio,,,,,,,,
amazonas,departamento,,,,,,,,
antioquia,departamento,,,,,,,,
arauca,departamento,,,,,,,,
archipiélago,zona,,,,,,,,
providencia,departamento,,,,,,,,
santa catalina,departamento,,,,,,,,
san andrés,departamento,,,,,,,,
atlántico,departamento,,,,,,,,
bogotá d.c.,departamento,,,,,,,,
bolívar,departamento,,,,,,,,
boyacá,departamento,,,,,,,,
caldas,departamento,,,,,,,,
caquetá,departamento,,,,,,,,
casanare,departamento,,,,,,,,
cauca,departamento,,,,,,,,
cesar,departamento,,,,,,,,
chocó,departamento,,,,,,,,
córdoba,departamento,,,,,,,,
cundinamarca,departamento,,,,,,,,
guainía,departamento,,,,,,,,
guaviare,departamento,,,,,,,,
huila,departamento,,,,,,,,
la guajira,departamento,,,,,,,,
magdalena,departamento,,,,,,,,
meta,departamento,,,,,,,,
nariño,departamento,,,,,,,,
norte de santander,departamento,,,,,,,,
putumayo,departamento,,,,,,,,
quindío,departamento,,,,,,,,
risaralda,departamento,,,,,,,,
santander,departamento,,,,,,,,
sucre,departamento,,,,,,,,
tolima,departamento,,,,,,,,
valle del cauca,departamento,,,,,,,,
vaupés,departamento,,,,,,,,
vichada,departamento,,,,,,,,
municipio,municipio,,,,,,,,
departamento,departamento,,,,,,,,
ciudades,zona,,,,,,,,
ciudad,zona,,,,,,,,
vereda,zona,,,,,,,,
paraje,zona,,,,,,,,
país,zona,,,,,,,,
colombia,país,,,,,,,,
venezuela,país,,,,,,,,
méxico,país,,,,,,,,
perú,país,,,,,,,,
ecuador,país,,,,,,,,
maracaibo,municipio,,,,,,,,
caracas,municipio,,,,,,,,
quito,municipio,,,,,,,,
lima,municipio,,,,,,,,
bahía portete,vereda,,,,,,,,
puerto nuevo,vereda,,,,,,,,
carrillo,vereda,,,,,,,,
el salado,vereda,,,,,,,,
región,zona,,,,,,,,
campo,zona,,,,,,,,
occidente,zona,,,,,,,,
nordeste antioqueño,zona,,,,,,,,
sur occidente,zona,,,,,,,,
noroccidente,zona,,,,,,,,
nororiente,zona,,,,,,,,
portete,zona,,,,,,,,
urubá,zona,,,,,,,,
noroeste,zona,,,,,,,,
panamericana,zona,,,,,,,,
bellavista,zona,,,,,,,,
zona,zona,,,,,,,,
montes de maría,zona,,,,,,,,
caribe,zona,,,,,,,,
suroccidente,zona,,,,,,,,
heladería,zona,,,,,,,,
escuela,zona,,,,,,,,
universidad,zona,,,,,,,,
plaza,zona,,,,,,,,
iglesia,zona,,,,,,,,
parque,zona,,,,,,,,
kiosco,zona,,,,,,,,
casas,zona,,,,,,,,
casa,zona,,,,,,,,
cementerio,zona,,,,,,,,
cuartel,zona,,,,,,,,
finca,zona,,,,,,,,
río,zona,,,,,,,,
pueblo,zona,,,,,,,,
parque monumento,zona,,,,,,,,
manglares,zona,,,,,,,,
desierto,zona,,,,,,,,
puerto,zona,,,,,,,,
enramada,zona,,,,,,,,
colegio,zona,,,,,,,,
escuela,zona,,,,,,,,
hospital,zona,,,,,,,,
restaurante,zona,,,,,,,,
centro de salud,zona,,,,,,,,
mares,zona,,,,,,,,
carretera,zona,,,,,,,,
urgencias,zona,,,,,,,,
casa cural,zona,,,,,,,,
orilla,zona,,,,,,,,
barrio,zona,,,,,,,,
porvenir,zona,,,,,,,,
casa de la cultura,zona,,,,,,,,
mercado viejo,zona,,,,,,,,
concejo municipal,zona,,,,,,,,
ferretería,zona,,,,,,,,
montes de maría,zona,,,,,,,,
